category,title,description,og:url,start_time,end_time,latitude,longitude,image,event_id,category_ai,category_1,category_2,category_3
Charity & Social Causes,"Kissed a Ghoul, Liked It: Diversity in Paranormal Romance Author Panel","Hear from a panel of authors about writing trans, queer, plus-size, and disabled main characters in paranormal romance!",https://www.eventbrite.com/e/kissed-a-ghoul-liked-it-diversity-in-paranormal-romance-author-panel-tickets-1607191967439,2025-10-26T15:00:00-04:00,2025-10-26 17:00:00-04:00,42.3895917,-71.10617839999999,https://cdn.evbuc.com/images/1117003563/2869852827521/1/logo.20250908-013542,1607191967439,"Community & Culture, Education",Community & Culture,Education,
Community & Culture,Ultimate New York Food & Culture Tour™ in the Village  $73.99 - Small Group,Ultimate New York Food & Culture Tour™ in the Village  $73.99 - Small Group,https://www.eventbrite.com/e/ultimate-new-york-food-culture-tourtm-in-the-village-7399-small-group-tickets-14814904779,2014-12-08T14:45:00-05:00,2026-03-15 14:30:00-04:00,40.7316603,-74.00314049999997,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F137947361%2F1365761876%2F1%2Foriginal.jpg?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C246%2C123&s=d3ae336da14228aa775f01e318ed5cd5,14814904779,"Food & Drink
Community & Culture
Education",Community & Culture,,
Community & Culture,NYC Language & Culture Social – Every Friday @ 7PM,"meet new people from all over the world (and the city) who love languages, learning, and culture",https://www.eventbrite.com/e/nyc-language-culture-social-every-friday-7pm-tickets-1507737697039,2025-07-25T19:00:00-04:00,2028-09-22 21:00:00-04:00,40.70986449999999,-74.00874859999999,https://cdn.evbuc.com/images/1082246403/2839999758671/1/logo.20250727-203558,1507737697039,"Community & Culture, Education, Nightlife & Parties",Community & Culture,Education,Nightlife & Parties
Online,NYC Online Speed Dating (56+ age group),Meet someone special and have fun connecting with new people!,https://www.eventbrite.com/e/nyc-online-speed-dating-56-age-group-tickets-1339454016019,2025-05-02T20:00:00-04:00,2025-12-26 22:00:00-05:00,40.7097781,-74.00982710000001,https://cdn.evbuc.com/images/1016449273/2735577796041/1/logo.20250425-023030,1339454016019,"Dating, Community & Culture, Nightlife & Parties",Dating,Community & Culture,Nightlife & Parties
Online,NYC Singles Online Trivia Night - A Fun Speed Dating Alternative,* New York City Online Singles Trivia Night * Spots Are Limited And Will Likely Sell Out So Get Your Ticket ASAP *,https://www.eventbrite.com/e/nyc-singles-online-trivia-night-a-fun-speed-dating-alternative-tickets-1269852475939,2025-04-01T21:30:00-04:00,2025-10-14 21:00:00-04:00,40.7127753,-74.0059728,https://cdn.evbuc.com/images/975367383/1924315149053/1/logo.20250304-225922,1269852475939,"Dating
Community & Culture
Education",Online,,
Food & Drink,"Original E. Village Food & Culture Tour™-diverse tastings, sm group $73.99","Original E. Village Food & Culture Tour™-diverse tastings, sm group $73.99",https://www.eventbrite.com/e/original-e-village-food-culture-tourtm-diverse-tastings-sm-group-7399-tickets-14812956953,2014-12-08T11:30:00-05:00,2026-03-15 14:30:00-04:00,40.7298027,-73.98919760000001,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F137947913%2F1365761876%2F1%2Foriginal.jpg?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C20%2C1020%2C510&s=33dcd8c7a6c1a5f73ea42d4bccf6bfdf,14812956953,"Food & Drink, Community & Culture, Education",Food & Drink,Community & Culture,Education
Food & Drink,"Famous Food Festival "" Taste the World"" Long Island, NY - Fall 2025","Explore global cuisine from 80+ vendors, live music, rides & family-friendly fun at Famous Food Festival!",https://www.eventbrite.com/e/famous-food-festival-taste-the-world-long-island-ny-fall-2025-tickets-1397222643539,2025-10-10T13:00:00-04:00,2025-10-13 20:00:00-04:00,40.7648192,-73.30438049999998,https://cdn.evbuc.com/images/1135712223/1087008938383/1/logo.20250925-210213,1397222643539,"Food & Drink
Community & Culture
Music",Food & Drink,,
Dating,Tantra Speed Date® - New York! (Meet Singles Speed Dating),"Join the speed dating revolution with a 94% connection rate! Meet singles and ignite sparks with fun, chemistry games!",https://www.eventbrite.com/e/tantra-speed-date-new-york-meet-singles-speed-dating-tickets-1375684291749,2025-11-15T17:30:00-05:00,2025-11-15 20:30:00-05:00,40.7216756,-74.0005206,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F574128479%2F1493533057%2F1%2Foriginal.20230812-192929?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C170%2C2048%2C1024&s=104aef40fd0626602d8963e4750a539a,1375684291749,"Dating, Community & Culture, Nightlife & Parties",Dating,Community & Culture,Nightlife & Parties
Community & Culture,The Feels Queer edition 11: an event for LGBTQIA+ love seekers in NYC,An conscious dating event for those in search of deeper connection.,https://www.eventbrite.com/e/the-feels-queer-edition-11-an-event-for-lgbtqia-love-seekers-in-nyc-tickets-1568383289639,2025-10-08T18:30:00-04:00,2025-10-08 21:30:00-04:00,40.7176017,-73.9997659,https://cdn.evbuc.com/images/1090975973/2042575305683/1/logo.20250808-000840,1568383289639,"Dating, Community & Culture",Dating,Community & Culture,
Comedy & Performance,Big Wave Comedy Show: New York Citys Best Intimate Stand Up Comedy Show,Big Wave Comedy is a New York Citys BEST weekly intimate Stand Up Comedy Show happening at Ten Degrees Bar in the East Village.,https://www.eventbrite.com/e/big-wave-comedy-show-new-york-citys-best-intimate-stand-up-comedy-show-tickets-567396166207,2023-03-07T19:30:00-05:00,2025-12-16 21:30:00-05:00,40.7269523,-73.983437,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F457697049%2F566721215201%2F1%2Foriginal.20230301-042537?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=268%2C124%2C1644%2C822&s=e32ecd30788d7a899ee18e5fb50593bb,567396166207,"Comedy & Performance
Nightlife & Parties
Community & Culture",Comedy & Performance,,
Comedy & Performance,Laugh It Off: Stand Up Comedy in the East Village,Not your average comedy show! Audience members tell us their problems and NYCs best stand up comedians attempt to fix them.,https://www.eventbrite.com/e/laugh-it-off-stand-up-comedy-in-the-east-village-tickets-1226474039869,2025-02-28T20:00:00-05:00,2025-12-05 21:30:00-05:00,40.7247191,-73.9817288,https://cdn.evbuc.com/images/948113533/26754969909/1/logo.20250129-233652,1226474039869,"Comedy & Performance, Community & Culture, Nightlife & Parties",Comedy & Performance,Community & Culture,Nightlife & Parties
Comedy & Performance,Comedy Show + Complimentary Mini-Golf!,"Enjoy an evening of  stand-up featuring comedians you’ve seen on Netflix, HBO, and Comedy Central. Plus Food, Cocktails, Rooftop views!",https://www.eventbrite.com/e/comedy-show-complimentary-mini-golf-tickets-1028534082127,2024-10-05T19:00:00-04:00,2026-08-01 22:30:00-04:00,40.7415865,-74.0075955,https://cdn.evbuc.com/images/1070113143/110558941863/1/logo.20250709-183158,1028534082127,"Comedy & Performance, Food & Drink, Nightlife & Parties
Comedy & Performance, Health & Fitness",Comedy & Performance,Food & Drink,
Comedy & Performance,Broadway Comedy Club- Top Stand Up Comedy In Times Square!,"Get ready for an epic night of laughter at the Broadway Comedy Club, where you can score free tickets to witness hilarious comics!",https://www.eventbrite.com/e/broadway-comedy-club-top-stand-up-comedy-in-times-square-tickets-66978698089,2019-08-03T23:00:00-04:00,2026-02-28 22:30:00-05:00,40.7644077,-73.98566849999997,https://cdn.evbuc.com/images/1040138473/305763864772/1/logo.20250527-220941,66978698089,"Comedy & Performance, Nightlife & Parties",Comedy & Performance,Nightlife & Parties,
STEM,New York Tech Career Fair: Exclusive Tech Hiring Event,Tech Career Fair focus on helping companies achieve their diversity and inclusivity initiative with more diverse non-traditional candidates,https://www.eventbrite.com/e/new-york-tech-career-fair-exclusive-tech-hiring-event-tickets-146584912419,2025-10-31T12:00:00-04:00,2025-10-31 15:00:00-04:00,40.7127753,-74.0059728,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F682565139%2F197361445633%2F1%2Foriginal.20240125-152555?w=1000&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C940%2C470&s=b00f3fea466ce73e72f0025b6da8502d,146584912419,"STEM, Business, Education",STEM,Business,Education
STEM,Women in Tech New York City - OutGeekWomen,"All the badass women in tech, are you in? #outgeekwomen #womenintech",https://www.eventbrite.com/e/women-in-tech-new-york-city-outgeekwomen-tickets-1224235995819,2025-11-13T18:00:00-05:00,2025-11-13 20:00:00-05:00,40.711123,-73.966358,https://cdn.evbuc.com/images/1013635223/529664982707/1/logo.20250421-235814,1224235995819,"STEM
Community & Culture
Business",STEM,,
Business,New York City Career Fair,Meet with Local Hiring Employers,https://www.eventbrite.com/e/new-york-city-career-fair-tickets-1124516542249,2025-10-28T09:30:00-04:00,2025-10-28 12:30:00-04:00,40.7623861,-73.98201879999999,https://cdn.evbuc.com/images/923344273/183327965130/1/logo.20241226-141844,1124516542249,"Business, Education, Community & Culture",Business,Education,Community & Culture
Business,Small Business Coalition Networks Resource Fair,"Join us at the Small Business Coalition Networks Resource Fair for a day of networking, learning, and supporting local entrepreneurs!",https://www.eventbrite.com/e/small-business-coalition-networks-resource-fair-tickets-1559582937549,2025-09-30T18:00:00-04:00,2025-09-30 20:00:00-04:00,40.679949,-73.9460014,https://cdn.evbuc.com/images/1089001183/38233431606/1/logo.20250805-203935,1559582937549,"Business, Community & Culture, Education",Business,Community & Culture,Education
Business,CAOs 2025 Fall Aviation Job Fair,Connect with top employers & explore exciting career opportunities in aviation.,https://www.eventbrite.com/e/caos-2025-fall-aviation-job-fair-tickets-1602609340679,2025-10-07T10:00:00-04:00,2025-10-07 13:00:00-04:00,40.7137536,-73.8281736,https://cdn.evbuc.com/images/1098773803/2463083283871/1/logo.20250818-184732,1602609340679,"Business, Education, STEM",Business,Education,STEM
Business,Homebuyer Brunch,Join us!,https://www.eventbrite.com/e/homebuyer-brunch-tickets-1482021158179,2025-09-28T10:00:00-04:00,2025-09-28 12:00:00-04:00,40.693705,-73.9885647,https://cdn.evbuc.com/images/1089748303/21814161668/1/logo.20250806-172655,1482021158179,"Home & Lifestyle
Food & Drink
Business",Business,,
Business,Space Phoenix Systems Private Investor Reception - NYC,Space Phoenix Systems has been named the Most Fundable Space Startup in the Country! *,https://www.eventbrite.com/e/space-phoenix-systems-private-investor-reception-nyc-tickets-1693753174339,2025-09-29T17:30:00-04:00,2025-09-29 20:00:00-04:00,40.760861,-73.98105699999999,https://cdn.evbuc.com/images/1124672843/185965473348/1/logo.20250915-182427,1693753174339,"STEM, Business",STEM,Business,
Business,NYC Business Solutions Center Crawl 2025 - Brooklyn,Learn about free services provided at our NYC Business Solutions Centers located across the five boroughs to help you start/grow a business!,https://www.eventbrite.com/e/nyc-business-solutions-center-crawl-2025-brooklyn-tickets-1595906803209,2025-09-30T11:00:00-04:00,2025-09-30 15:00:00-04:00,40.689286,-73.98293559999999,https://cdn.evbuc.com/images/1096855243/69812126873/1/logo.20250815-164401,1595906803209,"Business, Education, Community & Culture",Business,Education,Community & Culture
Business,"Project Management Techniques Certification in Union City, NJ",Get certified in project management techniques at our classroom training and live virtual  training!,https://www.eventbrite.com/e/project-management-techniques-certification-in-union-city-nj-tickets-1329408559789,2025-04-25T09:00:00-04:00,2026-04-25 17:00:00-04:00,40.773694,-74.0270745,https://cdn.evbuc.com/images/991667243/2032835883643/1/logo.20250324-223023,1329408559789,"Business, Education",Business,Education,
Business,"Project Management Techniques Training Course in Bayonne, NJ",Get certified in project management techniques at our classroom training and live virtual  training!,https://www.eventbrite.com/e/project-management-techniques-training-course-in-bayonne-nj-tickets-1329412822539,2025-04-25T09:00:00-04:00,2026-04-25 17:00:00-04:00,40.658801,-74.1063776,https://cdn.evbuc.com/images/991667243/2032835883643/1/logo.20250324-223023,1329412822539,"Education, Business",Education,Business,
Business,"Boost Your Project Management Techniques Training in Hoboken, NJ",Get certified in project management techniques at our classroom training and live virtual  training!,https://www.eventbrite.com/e/boost-your-project-management-techniques-training-in-hoboken-nj-tickets-1329436874479,2025-04-25T09:00:00-04:00,2026-04-25 17:00:00-04:00,40.7386915,-74.0279731,https://cdn.evbuc.com/images/991667243/2032835883643/1/logo.20250324-223023,1329436874479,"Education, Business",Education,Business,
Business,"Project Management Techniques Training in West New York, NJ",Get certified in project management techniques at our classroom training and live virtual  training!,https://www.eventbrite.com/e/project-management-techniques-training-in-west-new-york-nj-tickets-1329441357889,2025-04-25T09:00:00-04:00,2026-04-25 17:00:00-04:00,40.75161629999999,-73.9935249,https://cdn.evbuc.com/images/991667243/2032835883643/1/logo.20250324-223023,1329441357889,"Education, Business",Education,Business,
Business,Strategy Saturday NYC: The Second Renaissance,"Join Armando Pantoja, one of the world’s top voices in emerging technology and investing, for an unforgettable night in NYC.",https://www.eventbrite.com/e/strategy-saturday-nyc-the-second-renaissance-tickets-1677644904069,2025-10-04T15:00:00-04:00,2025-10-04 18:00:00-04:00,40.7533868,-73.98595050000002,https://cdn.evbuc.com/images/1118159703/37035176124/1/logo.20250908-230020,1677644904069,"Business, Education, STEM",Business,Education,STEM
Business,2025 NYBLACKMBA Black Tie Cocktail Gala,Get ready to celebrate at the 2025 NYBLACKMBA Black Tie Cocktail Gala,https://www.eventbrite.com/e/2025-nyblackmba-black-tie-cocktail-gala-tickets-1529150232509,2025-10-04T20:00:00-04:00,2025-10-05 01:00:00-04:00,40.76859049999999,-73.98309859999999,https://cdn.evbuc.com/images/1081109613/1421384528/1/logo.20250725-090315,1529150232509,"Business
Community & Culture
Charity & Social Causes",Business,,
Business,HKANY Mid-Autumn Celebration,"Join HKANYs Mid-Autumn Celebration for a nostalgic evening on 9/30, featuring a special screening of Shaolin Soccer (2001) under the stars!",https://www.eventbrite.com/e/hkany-mid-autumn-celebration-tickets-1612316314499,2025-09-30T18:00:00-04:00,2025-09-30 21:00:00-04:00,40.751177,-73.9859209,https://cdn.evbuc.com/images/1114696933/165032345043/1/logo.20250904-203001,1612316314499,"Community & Culture, Food & Drink, Comedy & Performance",Community & Culture,Food & Drink,Comedy & Performance
Business,Latina Equal Pay Day NYC 2025,Leveling Up: Elevate. Advance. Lead. An impactful evening dedicated to shining a light on Closing the Wage Gap for Latina Workers.,https://www.eventbrite.com/e/latina-equal-pay-day-nyc-2025-tickets-1626828751589,2025-10-01T17:30:00-04:00,2025-10-01 20:30:00-04:00,40.7424976,-73.9877778,https://cdn.evbuc.com/images/1132546253/1042496275703/1/logo.20250923-121014,1626828751589,"Community & Culture, Charity & Social Causes, Business",Community & Culture,Charity & Social Causes,Business
Business,Health Tech Startup Networking Rooftop Happy Hour - NYC,Join us for a fun evening of networking with fellow health tech startup enthusiasts on a rooftop with drinks and good vibes!,https://www.eventbrite.com/e/health-tech-startup-networking-rooftop-happy-hour-nyc-tickets-1626621682239,2025-09-29T17:30:00-04:00,2025-09-29 20:00:00-04:00,40.7442419,-73.9886085,https://cdn.evbuc.com/images/900527093/128748948797/1/logo.20241116-231813,1626621682239,"Business, Health & Fitness, Food & Drink",Business,Health & Fitness,Food & Drink
